landmark_path,file_id,participant,phrase
IMG-250627-00001.npy,IMG-250627-00001,univali_dataset,A
IMG-250627-00002.npy,IMG-250627-00002,univali_dataset,A
IMG-250627-00003.npy,IMG-250627-00003,univali_dataset,A
IMG-250627-00004.npy,IMG-250627-00004,univali_dataset,A
IMG-250627-00005.npy,IMG-250627-00005,univali_dataset,A
IMG-250627-00006.npy,IMG-250627-00006,univali_dataset,A
IMG-250627-00007.npy,IMG-250627-00007,univali_dataset,A
IMG-250627-00008.npy,IMG-250627-00008,univali_dataset,A
IMG-250627-00009.npy,IMG-250627-00009,univali_dataset,A
IMG-250627-00010.npy,IMG-250627-00010,univali_dataset,A
IMG-250627-00011.npy,IMG-250627-00011,univali_dataset,A
IMG-250627-00012.npy,IMG-250627-00012,univali_dataset,A
IMG-250627-00013.npy,IMG-250627-00013,univali_dataset,A
IMG-250627-00014.npy,IMG-250627-00014,univali_dataset,A
IMG-250627-00015.npy,IMG-250627-00015,univali_dataset,A
IMG-250627-00016.npy,IMG-250627-00016,univali_dataset,A
IMG-250627-00017.npy,IMG-250627-00017,univali_dataset,A
IMG-250627-00018.npy,IMG-250627-00018,univali_dataset,A
IMG-250627-00019.npy,IMG-250627-00019,univali_dataset,A
IMG-250627-00020.npy,IMG-250627-00020,univali_dataset,A
IMG-250627-00021.npy,IMG-250627-00021,univali_dataset,A
IMG-250627-00022.npy,IMG-250627-00022,univali_dataset,A
IMG-250627-00023.npy,IMG-250627-00023,univali_dataset,A
IMG-250627-00024.npy,IMG-250627-00024,univali_dataset,A
IMG-250627-00025.npy,IMG-250627-00025,univali_dataset,A
IMG-250627-00026.npy,IMG-250627-00026,univali_dataset,A
IMG-250627-00027.npy,IMG-250627-00027,univali_dataset,A
IMG-250627-00028.npy,IMG-250627-00028,univali_dataset,A
IMG-250627-00029.npy,IMG-250627-00029,univali_dataset,A
IMG-250627-00030.npy,IMG-250627-00030,univali_dataset,A
IMG-250627-00031.npy,IMG-250627-00031,univali_dataset,A
IMG-250627-00032.npy,IMG-250627-00032,univali_dataset,A
IMG-250627-00033.npy,IMG-250627-00033,univali_dataset,A
IMG-250627-00034.npy,IMG-250627-00034,univali_dataset,A
IMG-250627-00035.npy,IMG-250627-00035,univali_dataset,A
IMG-250627-00036.npy,IMG-250627-00036,univali_dataset,A
IMG-250627-00037.npy,IMG-250627-00037,univali_dataset,A
IMG-250627-00038.npy,IMG-250627-00038,univali_dataset,A
IMG-250627-00039.npy,IMG-250627-00039,univali_dataset,A
IMG-250627-00040.npy,IMG-250627-00040,univali_dataset,A
IMG-250627-00041.npy,IMG-250627-00041,univali_dataset,A
IMG-250627-00042.npy,IMG-250627-00042,univali_dataset,A
IMG-250627-00043.npy,IMG-250627-00043,univali_dataset,A
IMG-250627-00044.npy,IMG-250627-00044,univali_dataset,A
IMG-250627-00045.npy,IMG-250627-00045,univali_dataset,A
IMG-250627-00046.npy,IMG-250627-00046,univali_dataset,A
IMG-250627-00047.npy,IMG-250627-00047,univali_dataset,A
IMG-250627-00048.npy,IMG-250627-00048,univali_dataset,A
IMG-250627-00001.npy,IMG-250627-00001,univali_dataset,A
IMG-250627-00002.npy,IMG-250627-00002,univali_dataset,A
IMG-250627-00003.npy,IMG-250627-00003,univali_dataset,A
IMG-250627-00004.npy,IMG-250627-00004,univali_dataset,A
IMG-250627-00005.npy,IMG-250627-00005,univali_dataset,A
IMG-250627-00006.npy,IMG-250627-00006,univali_dataset,A
IMG-250627-00007.npy,IMG-250627-00007,univali_dataset,A
IMG-250627-00008.npy,IMG-250627-00008,univali_dataset,A
IMG-250627-00009.npy,IMG-250627-00009,univali_dataset,A
IMG-250627-00010.npy,IMG-250627-00010,univali_dataset,A
IMG-250627-00011.npy,IMG-250627-00011,univali_dataset,A
IMG-250627-00012.npy,IMG-250627-00012,univali_dataset,A
IMG-250627-00013.npy,IMG-250627-00013,univali_dataset,A
IMG-250627-00014.npy,IMG-250627-00014,univali_dataset,A
IMG-250627-00015.npy,IMG-250627-00015,univali_dataset,A
IMG-250627-00016.npy,IMG-250627-00016,univali_dataset,A
IMG-250627-00017.npy,IMG-250627-00017,univali_dataset,A
IMG-250627-00018.npy,IMG-250627-00018,univali_dataset,A
IMG-250627-00019.npy,IMG-250627-00019,univali_dataset,A
IMG-250627-00020.npy,IMG-250627-00020,univali_dataset,A
IMG-250627-00021.npy,IMG-250627-00021,univali_dataset,A
IMG-250627-00022.npy,IMG-250627-00022,univali_dataset,A
IMG-250627-00023.npy,IMG-250627-00023,univali_dataset,A
IMG-250627-00024.npy,IMG-250627-00024,univali_dataset,A
IMG-250627-00025.npy,IMG-250627-00025,univali_dataset,A
IMG-250627-00026.npy,IMG-250627-00026,univali_dataset,A
IMG-250627-00027.npy,IMG-250627-00027,univali_dataset,A
IMG-250627-00028.npy,IMG-250627-00028,univali_dataset,A
IMG-250627-00029.npy,IMG-250627-00029,univali_dataset,A
IMG-250627-00030.npy,IMG-250627-00030,univali_dataset,A
IMG-250627-00031.npy,IMG-250627-00031,univali_dataset,A
IMG-250627-00032.npy,IMG-250627-00032,univali_dataset,A
IMG-250627-00033.npy,IMG-250627-00033,univali_dataset,A
IMG-250627-00034.npy,IMG-250627-00034,univali_dataset,A
IMG-250627-00035.npy,IMG-250627-00035,univali_dataset,A
IMG-250627-00036.npy,IMG-250627-00036,univali_dataset,A
IMG-250627-00037.npy,IMG-250627-00037,univali_dataset,A
IMG-250627-00038.npy,IMG-250627-00038,univali_dataset,A
IMG-250627-00039.npy,IMG-250627-00039,univali_dataset,A
IMG-250627-00040.npy,IMG-250627-00040,univali_dataset,A
IMG-250627-00041.npy,IMG-250627-00041,univali_dataset,A
IMG-250627-00042.npy,IMG-250627-00042,univali_dataset,A
IMG-250627-00043.npy,IMG-250627-00043,univali_dataset,A
IMG-250627-00044.npy,IMG-250627-00044,univali_dataset,A
IMG-250627-00045.npy,IMG-250627-00045,univali_dataset,A
IMG-250627-00046.npy,IMG-250627-00046,univali_dataset,A
IMG-250627-00047.npy,IMG-250627-00047,univali_dataset,A
IMG-250627-00048.npy,IMG-250627-00048,univali_dataset,A
IMG-250627-00049.npy,IMG-250627-00049,univali_dataset,A
IMG-250627-00050.npy,IMG-250627-00050,univali_dataset,A
IMG-250627-00051.npy,IMG-250627-00051,univali_dataset,A
IMG-250627-00052.npy,IMG-250627-00052,univali_dataset,A
IMG-250627-00053.npy,IMG-250627-00053,univali_dataset,A
IMG-250627-00054.npy,IMG-250627-00054,univali_dataset,A
IMG-250627-00055.npy,IMG-250627-00055,univali_dataset,A
IMG-250627-00056.npy,IMG-250627-00056,univali_dataset,A
IMG-250627-00057.npy,IMG-250627-00057,univali_dataset,A
IMG-250627-00058.npy,IMG-250627-00058,univali_dataset,A
IMG-250627-00059.npy,IMG-250627-00059,univali_dataset,A
IMG-250627-00060.npy,IMG-250627-00060,univali_dataset,A
IMG-250627-00061.npy,IMG-250627-00061,univali_dataset,A
IMG-250627-00062.npy,IMG-250627-00062,univali_dataset,A
