video_path,landmark_path,participant,sign_id,phrase
,,author,0,Letra C
,,author,1,Letra O
../dataset/raw_data/vlibrasil/61_Vinte/20201221122641_5fe0beb1c4413.mp4,../dataset/processed/landmarks/20201221122641_5fe0beb1c4413.npy,vlisbrasil,61,Vinte
../dataset/raw_data/vlibrasil/61_Vinte/20201221122642_5fe0beb216246.mp4,../dataset/processed/landmarks/20201221122642_5fe0beb216246.npy,vlisbrasil,61,Vinte
../dataset/raw_data/vlibrasil/61_Vinte/20210329031123_6062184b51c8c.mp4,20210329031123_6062184b51c8c.npy,vlisbrasil,61,Vinte
../dataset/raw_data/vlibrasil/62_Sozinho/20201221123436_5fe0c08cacf9d.mp4,20201221123436_5fe0c08cacf9d.npy,vlisbrasil,62,Sozinho
../dataset/raw_data/vlibrasil/62_Sozinho/20201221123436_5fe0c08cb6259.mp4,20201221123436_5fe0c08cb6259.npy,vlisbrasil,62,Sozinho
../dataset/raw_data/vlibrasil/62_Sozinho/20210329045002_60622f6a7e6ae.mp4,20210329045002_60622f6a7e6ae.npy,vlisbrasil,62,Sozinho
../dataset/raw_data/vlibrasil/63_Solteiro/20201221123757_5fe0c1557078f.mp4,20201221123757_5fe0c1557078f.npy,vlisbrasil,63,Solteiro
../dataset/raw_data/vlibrasil/63_Solteiro/20201221123757_5fe0c1557b3ae.mp4,20201221123757_5fe0c1557b3ae.npy,vlisbrasil,63,Solteiro
../dataset/raw_data/vlibrasil/63_Solteiro/20210329044959_60622f671f15d.mp4,20210329044959_60622f671f15d.npy,vlisbrasil,63,Solteiro
../dataset/raw_data/vlibrasil/64_Algo/20201221124056_5fe0c2088bbce.mp4,20201221124056_5fe0c2088bbce.npy,vlisbrasil,64,Algo
../dataset/raw_data/vlibrasil/64_Algo/20201221124056_5fe0c20890691.mp4,20201221124056_5fe0c20890691.npy,vlisbrasil,64,Algo
../dataset/raw_data/vlibrasil/64_Algo/20210329075727_60625b57b5913.mp4,20210329075727_60625b57b5913.npy,vlisbrasil,64,Algo
../dataset/raw_data/vlibrasil/65_Sempre/20201221124154_5fe0c2422d17f.mp4,20201221124154_5fe0c2422d17f.npy,vlisbrasil,65,Sempre
../dataset/raw_data/vlibrasil/65_Sempre/20201221124154_5fe0c24236e0b.mp4,20201221124154_5fe0c24236e0b.npy,vlisbrasil,65,Sempre
../dataset/raw_data/vlibrasil/65_Sempre/20210202050435_6019b0536ad0e.mp4,20210202050435_6019b0536ad0e.npy,vlisbrasil,65,Sempre
../dataset/raw_data/vlibrasil/66_Espera/20201221124357_5fe0c2bd894ac.mp4,20201221124357_5fe0c2bd894ac.npy,vlisbrasil,66,Espera
../dataset/raw_data/vlibrasil/66_Espera/20201221124357_5fe0c2bd929b5.mp4,20201221124357_5fe0c2bd929b5.npy,vlisbrasil,66,Espera
../dataset/raw_data/vlibrasil/66_Espera/20210623041455_60d3882f7561a.mp4,20210623041455_60d3882f7561a.npy,vlisbrasil,66,Espera
../dataset/raw_data/vlibrasil/67_Um/20201221124507_5fe0c30369dd1.mp4,20201221124507_5fe0c30369dd1.npy,vlisbrasil,67,Um
../dataset/raw_data/vlibrasil/67_Um/20201221124507_5fe0c3037318c.mp4,20201221124507_5fe0c3037318c.npy,vlisbrasil,67,Um
../dataset/raw_data/vlibrasil/67_Um/20210329045840_60623170f18c4.mp4,20210329045840_60623170f18c4.npy,vlisbrasil,67,Um
../dataset/raw_data/vlibrasil/69_Letra_A/20201221125550_5fe0c5866ec17.mp4,20201221125550_5fe0c5866ec17.npy,vlisbrasil,69,Letra A
../dataset/raw_data/vlibrasil/69_Letra_A/20201221125550_5fe0c58673599.mp4,20201221125550_5fe0c58673599.npy,vlisbrasil,69,Letra A
../dataset/raw_data/vlibrasil/69_Letra_A/20210329013721_60620241d7976.mp4,20210329013721_60620241d7976.npy,vlisbrasil,69,Letra A
../dataset/raw_data/vlibrasil/70_Pouco/20201221125721_5fe0c5e13b8e8.mp4,20201221125721_5fe0c5e13b8e8.npy,vlisbrasil,70,Pouco
../dataset/raw_data/vlibrasil/70_Pouco/20201221125721_5fe0c5e143e79.mp4,20201221125721_5fe0c5e143e79.npy,vlisbrasil,70,Pouco
../dataset/raw_data/vlibrasil/70_Pouco/20210202045743_6019aeb7d6fe6.mp4,20210202045743_6019aeb7d6fe6.npy,vlisbrasil,70,Pouco
../dataset/raw_data/vlibrasil/71_Abandonar/20201221125913_5fe0c651a8bc2.mp4,20201221125913_5fe0c651a8bc2.npy,vlisbrasil,71,Abandonar
../dataset/raw_data/vlibrasil/71_Abandonar/20210209055625_6022f6f9e1a7b.mp4,20210209055625_6022f6f9e1a7b.npy,vlisbrasil,71,Abandonar
../dataset/raw_data/vlibrasil/71_Abandonar/20210331110628_606481e488ae6.mp4,20210331110628_606481e488ae6.npy,vlisbrasil,71,Abandonar
